Level 2
30
20

O O O O O O O O O O O O O O O O O O O O O O O O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
O X X X X X X X X X X X X X X X X X X X X X X O
